client_id;employee_id;client_full_name;client_marital_status;client_gender;create_date;end_date;country
192010;I017; Victoria Lane;M;F;2024-07-14;;Australia 
123460;I003;Michael Burnett ;M;M;2023-09-06;; Finland
150160;I084; Janice Reed;M;F;2020-11-18;; Finland
122820;I109; Johnny Moss;M;M;2023-03-30;;Netherlands 
113700;I004;Tracie Johnson ;M;F;2024-02-17;2026-05-28;Ireland 
186210;I137; Carlos Simpson;S;M;2025-01-30;2025-04-11; Denmark
165100;I003; Sarah Phelps;M;F;2024-09-28;;Germany 
169280;I122;William Horton ;S;M;2021-05-03;; Norway
162030;I118; Molly Richards;M;F;2021-10-18;;Germany 
171900;I038; amy silva;M;F;2024-06-25;;Japan 
176390;I033; Kim Rice;S;F;2023-03-24;2025-10-25; Norway
104080;I147;Jennifer Aguirre ;S;F;2024-04-02;;United Kingdom 
164150;I050;David Bell ;S;M;2022-08-13;2023-11-26;Germany 
116270;I049;Glenn Brown ;S;M;2022-10-25;; Indonesia
115000;I118;Vanessa Bautista ;M;F;2024-05-08;;South Africa 
172210;I033;Kathleen Taylor ;S;F;2024-12-29;2027-02-03;Colombia 
143200;I007; Lorraine Hamilton;M;F;2020-05-07;;Austria 
162160;I060;Kevin Johnson ;M;M;2020-09-13;;Germany 
194110;I130;Philip Sanchez ;M;M;2020-04-26;; France
130150;I025;daniel velasquez ;S;M;2024-02-14;;Norway 
111650;I027;Mikayla Newton ;M;F;2020-11-17;;New Zealand 
198760;I084; Lindsey Jones;M;F;2021-01-25;;Australia 
133180;I106;Mike Smith ;M;M;2023-11-10;;France 
129880;I115;Michael Banks ;S;M;2024-01-31;2024-05-04;New Zealand 
104220;I010;Robert Mills ;M;M;2020-11-07;; Netherlands
193690;I060; Frank Russell;S;M;2025-03-06;; United Kingdom
193380;I088; Eric Evans;M;M;2020-05-25;;Nigeria 
128480;I032; Christine Fox;M;F;2024-11-06;; Belgium
144560;I043; Mary Johnson;M;F;2023-03-01;;India 
125820;I075;Glenn Stevens ;S;M;2022-12-31;; Belgium
108940;I102;Erin Curry ;M;F;2022-04-20;; Netherlands
101670;I044; Christina Reid;S;F;2020-11-05;;Canada 
199390;I127;Anthony Sanders ;S;M;2023-01-17;;France 
191270;; Brittany Rogers;S;F;2022-05-26;; Ireland
181700;I111;William Wilson ;M;M;2023-07-21;;Germany 
189670;I064; Sarah Ruiz;M;F;2025-03-03;2027-09-13;Belgium 
124650;I050; Brittney Rodriguez;S;F;2020-11-14;; South Korea
188010;I091; Rebecca Ramos;M;F;2021-01-25;; Turkey
107200;I027;Joshua Guzman ;M;M;2020-12-28;2023-03-04; Finland
147910;I135;Jenna Garcia ;S;F;2022-06-27;2022-09-27; Netherlands
164070;I106; Dylan Webb;M;M;2022-06-16;;Finland 
177340;I128;Kari Edwards ;M;F;2024-10-07;; Netherlands
180600;I033;Sean Henry ;S;M;2024-07-21;;Singapore 
142730;I134; Kim Knight;M;F;2021-09-26;;Netherlands 
125220;I083;Diana Middleton ;M;F;2021-02-18;; Luxembourg
164960;I140; Lori Berger;S;F;2020-07-16;2022-05-08; France
111920;I134; Lauren Miller;S;F;2022-01-24;;Netherlands 
113500;I147;Chelsea Juarez ;S;F;2024-04-25;;Luxembourg 
192440;I051;Ryan Werner ;S;M;2023-04-22;;Netherlands 
160770;I083; Lori Williams;S;F;2022-02-28;; Luxembourg
110190;I090;Joseph Hendrix ;M;M;2024-03-24;;Germany 
131580;I016;Max Spence ;M;M;2021-06-18;; New Zealand
140450;I101; Cassidy Fry;S;F;2021-06-13;; Norway
145800;I078;Tina Ballard ;S;F;2022-09-04;;Ireland 
146650;I139; Philip Davidson;M;M;2021-10-07;;Netherlands 
129950;I093; Amy Singh;S;F;2023-03-20;;Luxembourg 
101110;I014;Cynthia Harrell ;S;F;2022-07-14;; Austria
151420;I054; John Hernandez;M;M;2021-01-16;;Switzerland 
196380;I004; Taylor Watson;S;F;;;France 
157260;I008;Thomas Harper ;M;M;2021-09-05;;United States 
102680;I081; Mary Meyer;S;F;2024-05-23;;Brazil 
189410;I015;Jordan Rivers ;M;M;2020-07-05;;United Kingdom 
191420;I070;Tracy Welch ;S;F;2024-12-23;2027-05-27; Singapore
175260;I093;Nicole Martinez ;S;F;2024-02-09;;Argentina 
120470;I016;Sarah Thomas ;M;F;2023-02-05;;India 
146170;I066;Brandon Long ;M;M;2022-01-28;2022-12-08; Austria
130800;I081;David Reed ;S;M;2020-06-02;;Belgium 
164300;I034;Vincent Mclaughlin ;S;M;2024-03-25;2025-09-10;Japan 
128740;I068; Tabitha Harris;M;F;2021-04-25;;Japan 
190930;I013; Travis Harper;S;M;2022-11-24;; Sweden
157160;I073;Ashley Santos ;S;F;2022-05-09;; United States
;I115;Jason Bell ;M;M;2024-10-26;; Singapore
185490;I066; Barbara Bryan;M;F;2021-01-29;2022-10-03;Norway 
170470;I131;Mariah Brown ;M;F;2024-11-08;; Sweden
116300;I039;Matthew Jordan ;M;M;2023-05-30;; United States
182300;I062; Michael Harrison;M;M;2021-01-23;;Denmark 
168080;I023;Scott Crawford ;S;M;2023-08-26;;United States 
149470;I049; Aaron Gonzalez;M;M;2022-10-21;2023-08-10;Denmark 
189780;I105;Annette Miles ;S;F;2024-11-22;;Canada 
164980;I127; Jacob Kelly;S;M;2024-10-01;; Switzerland
123190;I063; John Lopez;M;M;2023-06-23;; France
183940;I030; Ryan Glenn;S;M;2022-04-27;; Kenya
185290;I101;Phillip Medina ;M;M;2020-11-11;;South Korea 
135500;I048; Barbara Merritt;;F;2023-01-25;2025-05-19; Japan
190690;I048; Jonathan Sandoval;M;M;2024-09-29;; Luxembourg
127970;I047; Brian Osborne;S;M;2024-11-07;; Switzerland
171160;I114;Raymond Evans ;M;M;2024-09-14;; Japan
195260;I040; David Davis;M;M;2021-05-26;; Norway
164760;I082;Tracy Brooks ;S;F;2024-05-14;; Ireland
;I086; Matthew Simpson;S;M;2021-10-13;; Netherlands
191780;I118; Sarah Norman;M;F;2022-04-06;2024-11-24; United Kingdom
137820;I129; Jeffrey Rice;M;M;2021-11-03;;Ireland 
114530;I027; Amanda Russell;S;F;2024-05-06;; United States
148750;I118;Olivia Ayers ;M;F;2021-02-07;;United Kingdom 
174520;I067; Nicole Lawrence;M;F;2024-03-04;;Canada 
164770;;Aaron Bright ;S;M;2023-07-23;; Finland
128610;I030; John Robertson;M;M;2024-09-25;;Sweden 
190720;I091;Frank Hancock ;S;M;2023-09-12;;Finland 
174630;I108;Brian Livingston ;M;M;2020-04-27;; Philippines
199380;I133;;S;M;2024-02-02;; United States
153710;I129;David Williams ;M;M;2022-07-28;;Nigeria 
159610;I048;Bradley Davis ;M;M;2021-06-08;;Belgium 
198020;I031;Frederick Cox ;S;M;2022-04-14;; United States
135140;I049; Vincent Hogan;S;M;2022-11-26;; New Zealand
190380;I122;Trevor Mcdonald ;S;M;2022-02-20;;Vietnam 
198700;I034;Nicholas Sanders ;S;M;2022-08-26;2025-03-03;Peru 
131770;I126; Tonya Wilson;S;F;2024-04-11;; Australia
142330;I097;Jeremy Floyd ;S;M;2020-04-27;;Singapore 
131000;I097; Catherine Holland;M;F;2024-06-06;; Colombia
170910;I106; Robert Tran;S;M;2022-08-25;; United Kingdom
172590;I010; Daniel Hill;M;M;2022-08-17;; South Africa
199040;I132;James White ;S;M;2023-12-28;2024-10-05;Germany 
152210;I096; Jenna Smith;M;F;2020-09-15;;Luxembourg 
150860;I149; Carol Griffin;S;F;2021-03-10;; Germany
172430;I145;Christopher Lozano ;M;M;2023-03-04;;Norway 
146740;I094; Corey Short;;M;2022-03-13;2024-11-15; Japan
168520;I147;Carl Norris ;M;M;2020-10-21;2022-07-05;Kenya 
173920;I021;Amber Mccormick ;M;F;2022-06-08;;South Korea 
120010;I011;Steven Jensen ;S;M;2023-09-02;; Finland
197900;I022; Michael Marsh;S;M;2023-03-19;;United Kingdom 
159330;I015;Richard Miller ;S;M;2021-05-15;; Netherlands
163550;I045; Christopher Hansen;M;M;2020-10-10;;Denmark 
162040;I112;Michael White ;S;M;2020-06-10;;Peru 
146360;I149;Katie Snyder ;M;F;2022-03-25;; Russia
129120;I098;Shannon Pacheco ;S;F;2020-03-18;; Ireland
174150;I106; Kristen Morgan;S;F;2022-05-01;; Kenya
115690;I147; Christine Cole;M;F;2024-12-15;; Norway
185690;I131;Laura Hooper ;M;F;2021-03-24;; Egypt
180740;I108; James Miller;S;M;2020-09-29;2022-11-09; Ireland
179150;I122;Alfred Campbell ;M;M;2024-10-23;; Singapore
125280;I137; Amanda Moore;S;F;2024-12-16;; Ireland
146000;I025; Kara Smith;S;F;2022-05-22;;South Korea 
128570;I080; Lindsay Johnson;M;F;2022-05-04;2022-06-09; Switzerland
139350;I123; Alyssa House;M;F;2020-05-08;; United States
130150;I025;daniel velasquez ;S;M;2024-02-14;;Norway 
178430;I126; Latoya Robles;M;F;2021-09-06;;
176160;I015; Charles Hart;S;M;2025-02-03;;Malaysia 
154120;I065;Scott Walsh ;M;M;2022-12-01;; New Zealand
112530;I112;Brian Hall ;M;M;2020-06-01;;Australia 
134130;I073; Cynthia Good;M;F;2024-06-20;; South Korea
166910;I147; Todd Perez;M;M;2021-02-17;; Japan
150250;I094; Valerie Stokes;M;F;2021-04-12;;Canada 
112240;I056; Nancy Brewer;M;F;2021-08-12;;Switzerland 
144050;I029;Alan Oneill ;S;M;2022-10-23;;Germany 
126850;I122;Tim Soto ;S;M;2023-03-30;2023-06-15; Switzerland
166950;I116;Mary Anderson ;S;F;2022-09-08;; Canada
177190;I018;John Wang ;M;M;2025-03-11;;Egypt 
122360;I150; Cynthia Blair;M;F;2022-06-15;;France 
151440;I011;Leah Walters ;M;F;2023-01-01;2025-09-15; Netherlands
159050;I068; Breanna Washington;M;F;2020-11-04;; Finland
126560;I052;Nicholas Davis ;M;M;2024-06-26;;New Zealand 
164700;I015; Sarah Burton;M;F;2022-06-02;;Austria 
162960;I128;ashley landry ;S;F;2021-06-22;; Canada
134310;I117; Michael Keller;S;M;2020-05-01;;Sweden 
190520;I023; Emily Bailey;S;F;2020-09-05;;Norway 
149930;I041;Ryan Taylor ;S;M;2023-01-10;;United Kingdom 
191040;I130;Felicia Aguilar ;M;F;2021-05-29;;Germany 
186020;I053; Michelle Moore;M;F;2021-06-16;; Japan
187560;I114;Mary Jennings ;M;F;2025-01-26;;Singapore 
104700;I009; Laura French;M;F;2020-04-20;; South Africa
108230;I111; Casey Johnson;M;F;2024-04-12;; France
151040;I111;Adrienne Johnson ;M;F;2025-01-27;; Canada
133890;I025;Edward Sanchez ;S;M;2021-08-05;; Belgium
127000;I086;Mary Hall ;S;F;2024-07-14;; France
180060;I108; Erin Walker;M;F;2022-09-02;; Norway
147730;I031;Lisa Bowen ;M;F;2021-09-28;; Brazil
130450;I012;Jillian Mills ;M;F;2022-04-15;; Bangladesh
150590;;Heather Garner ;S;F;2021-11-08;2024-01-21;South Korea 
149030;I114; Allison Lopez;M;F;2024-08-10;;Sweden 
184140;I022; Christine Lopez;S;F;2023-03-28;;Singapore 
185710;I048; Elizabeth Brown;M;F;2021-11-11;; Peru
159270;I118; Amanda Gardner;S;F;2024-08-05;; Canada
168950;I101; Barbara Burns;S;F;2023-04-30;2025-09-12;Belgium 
187780;I040;Jason Cook ;M;M;2024-12-21;; Switzerland
156810;I128;Anna Andersen ;S;F;2020-05-14;;Sweden 
173590;I050;Veronica Ortiz ;M;F;2023-08-17;; Bangladesh
171840;I006; Michael Mosley;;M;2020-06-08;; Switzerland
127500;I045; Amy Hudson;M;F;2021-11-26;; Vietnam
142780;I064; Richard Mcmillan;S;M;2025-03-13;;Norway 
191060;I013; Karen Anderson;S;F;2021-08-19;; Australia
109050;I011; Brian Daniels;S;M;2024-11-16;; United States
116760;I036;Keith Davis ;M;M;2024-03-09;; Luxembourg
125780;I040; Brian Myers;S;M;2023-04-03;; United States
183210;I085;STEPHANIE ROSS ;S;F;2022-01-26;; France
132010;I146;Shelly Miller ;S;F;2023-12-26;;Austria 
155620;I089; Jessica Stanley;S;F;2023-04-15;; New Zealand
170490;I098;Kyle Ramsey ;S;M;2022-01-21;;Canada 
110640;I082; Billy Hampton;S;M;2023-11-15;; Nigeria
190960;I048;Stephanie Delacruz ;S;F;2020-07-27;; Turkey
144030;I008;Angela Young ;S;F;2023-08-08;;Germany 
101850;I147;Stephen Ortiz ;M;M;2024-11-05;; Denmark
139070;I139; William Webb;M;M;2022-08-25;;South Korea 
102710;I011; Christina Jefferson;S;F;2023-04-15;; United Kingdom
118420;I085; Zachary Clark;S;M;2021-11-19;;Sweden 
149220;I050;John Garner ;M;M;2020-05-12;2021-02-16;Canada 
177740;I108; Carla Taylor;S;F;2023-01-08;; Singapore
198350;I030; Eileen Ross;S;F;2020-07-17;;Luxembourg 
176290;I106; Erica Medina;M;F;2021-05-22;;Kenya 
161160;I123;John Warren ;S;M;2020-03-30;;India 
191510;I055;Sydney Smith ;M;F;2022-02-04;;France 
166020;I097; juan jordan;S;M;2020-07-23;; Sweden
164910;I142;Kelly King ;M;F;2024-02-22;2025-05-20; Australia
172260;I128;Alexandra Wilson ;S;F;2022-11-07;2024-07-06;Vietnam 
134160;I096;Natalie Sanders ;S;F;2024-09-25;;Canada 
138890;I092;Jacob Baker ;M;M;2024-07-30;;South Korea 
169780;I131; Joseph Perry;M;M;2024-05-14;; Canada
146910;I142; Jacob Holden;S;M;2024-09-16;;Austria 
198840;I033;Tara Jacobs ;M;F;2024-06-28;; Thailand
183480;I024; Linda Chavez;S;F;;; Australia
149790;I014; Steven Haas;M;M;2023-05-02;; Singapore
143330;I101; Lisa Prince;S;F;2023-10-23;;Belgium 
105080;I003; Judy Ayers;M;F;2022-11-12;2023-12-19; Netherlands
186670;I063; Tony Ramsey;M;M;2021-05-26;; Austria
144320;I136; Jose Edwards;S;M;2022-11-09;2024-04-01;Switzerland 
134320;I041; Brent Wilson;M;M;2020-09-08;; Sweden
188790;I002;Ashley Wood ;S;F;2022-09-01;;Indonesia 
139840;I092;Manuel Diaz ;M;M;2022-03-27;2022-12-09;Austria 
178990;I102;Patrick Carson ;S;M;2025-01-27;; Austria
102500;I114;Nancy Rasmussen ;M;F;2022-08-31;2024-07-05;South Africa 
134060;I054; Kayla Anderson;M;F;2020-06-06;;Japan 
183920;I145; Shawn Berry;S;M;2022-11-11;2024-01-31;United States 
102940;I019;Anthony Taylor ;M;M;2024-03-01;;Thailand 
162220;I055;Ryan Anthony ;M;M;2022-10-12;;Netherlands 
177130;I073; Kathryn Berry;M;F;2022-02-03;2022-08-18; France
115380;I017; Maureen Johnson;S;F;2025-01-10;;France 
116540;I146; Matthew Steele;S;M;2024-09-23;; Singapore
189790;I018; Cody Delgado;M;M;2022-02-02;;United States 
189770;I141; Rebecca Smith;M;F;2020-10-25;;Finland 
193510;I127; Marcus Henderson;M;M;2021-07-12;; Switzerland
181440;I106;Jose Bryant ;S;M;2020-09-11;; Finland
135640;I089; Phillip Krueger;M;M;2023-03-03;;Denmark 
105310;I128; Edward Brooks;S;M;2022-12-10;; Pakistan
181500;I139;Claire Thompson ;S;F;2022-01-11;;Denmark 
101030;I092;Tammy Williams ;M;F;2023-04-07;; Denmark
189920;I039;Wayne Johnson ;S;M;2021-01-27;; Belgium
176480;I016;Rebecca Baker ;M;F;2020-09-24;; Kenya
179420;I054;Gabriel Black ;S;M;2024-03-26;; Kenya
180510;I148;Robin Wyatt ;M;F;2025-01-31;; Malaysia
149210;I065; Timothy Graham;M;M;2020-10-01;; South Korea
194750;I079;Benjamin Harrington ;M;M;2022-06-17;;Austria 
199650;I003;Michael Stephens ;M;M;2024-09-23;2025-11-16; Switzerland
191520;I057; Tammy Simmons;S;F;2020-11-11;; Canada
198540;I129;Olivia Martinez ;S;F;2024-04-20;;Russia 
